,onset,offset,story,word,lemma,PoS_tag_full
1961,176.299999,176.739999,forgot,shaving,shave,VBG
1962,176.74,177.18,forgot,foam,foam,NN
1963,177.559999,177.649999,forgot,a,a,DT
1964,177.65,177.96,forgot,pair,pair,NN
1965,177.96,178.06,forgot,of,of,IN
1966,178.059999,178.229999,forgot,note,note,NN
1967,178.279999,178.799999,forgot,paper,paper,NN
1968,179.139999,179.27999899999998,forgot,and,and,CC
1969,179.279999,179.32999900000002,forgot,a,a,DT
1970,179.32999999999998,179.57999999999998,forgot,box,box,NN
1971,179.57999999999998,179.67999999999998,forgot,of,of,IN
1972,179.68,180.44,forgot,pencils,pencil,NNS
1973,181.3,181.42,forgot,and,and,CC
1974,181.42,181.52,forgot,my,my,PRP$
1975,181.52,182.15,forgot,yogurt,yogurt,NN
1976,183.92,184.32,forgot,and,and,CC
1977,184.32,184.38,forgot,i,I,PRP
1978,184.38,185.0,forgot,discovered,discover,VBN
1979,185.08,185.44000000000003,forgot,during,during,IN
1980,185.44,185.5,forgot,a,a,DT
1981,185.5,185.84,forgot,power,power,NN
1982,185.84,186.21,forgot,cut,cut,NN
1983,186.83,187.03,forgot,my,my,PRP$
1984,187.05,187.77,forgot,candles,candle,NNS
1985,189.71,189.95,forgot,now,now,RB
1986,189.95,190.09,forgot,i'm,I'm,NN
1987,190.11,190.43,forgot,thinking,think,VBG
1988,190.429999,190.539999,forgot,of,of,IN
1989,190.54,190.58,forgot,a,a,DT
1990,190.58,190.86,forgot,boy,boy,NN
1991,190.88,191.04,forgot,with,with,IN
1992,191.04,191.25,forgot,new,new,JJ
1993,191.28,191.63,forgot,tennis,tennis,NN
1994,191.63,192.1,forgot,shoes,shoe,NNS
1995,192.11,192.23,forgot,who,who,WP
1996,192.23,192.59,forgot,believes,believe,VBZ
1997,192.59,192.7,forgot,he,he,PRP
1998,192.7,192.88,forgot,can,can,MD
1999,192.88,193.13,forgot,run,run,VB
2000,193.15,193.64,forgot,forever,forever,RB
2001,194.27,194.53,forgot,no,no,DT
2002,194.53,194.78,forgot,that's,that's,NN
2003,194.78,194.92,forgot,not,not,RB
2004,194.929999,195.179999,forgot,giving,give,VBG
2005,195.179999,195.309999,forgot,it,it,PRP
2006,195.32,195.46,forgot,to,to,TO
2007,195.46,195.7,forgot,me,me,PRP
2008,196.449999,196.549999,forgot,a,a,DT
2009,196.549999,196.829999,forgot,dry,dry,NN
2010,196.859999,197.149999,forgot,town,town,NN
2011,197.15,197.21,forgot,in,in,IN
2012,197.209999,197.349999,forgot,which,which,WDT
2013,197.35,197.48,forgot,it,it,PRP
2014,197.48,197.81,forgot,rained,rain,VBN
2015,197.82,198.34,forgot,forever,forever,RB
2016,199.07,199.17,forgot,a,a,DT
2017,199.17,199.47000000000003,forgot,road,road,NN
2018,199.49,199.66,forgot,through,through,IN
2019,199.66,199.76,forgot,the,the,DT
2020,199.76,200.15,forgot,desert,desert,NN
2021,200.23,200.38,forgot,on,on,IN
2022,200.38,200.57,forgot,which,which,WDT
2023,200.59,200.81,forgot,good,good,JJ
2024,200.81,201.14,forgot,people,people,NNS
2025,201.15,201.3,forgot,see,see,VB
2026,201.3,201.36,forgot,a,a,DT
2027,201.36,202.07,forgot,mirage,mirage,NN
2028,202.74,202.83,forgot,a,a,DT
2029,202.83,203.4,forgot,dinosaur,dinosaur,NN
2030,203.4,203.48,forgot,that,that,IN
2031,203.48,203.61,forgot,is,be,VBZ
2032,203.61,203.66000000000005,forgot,a,a,DT
2033,203.66,203.98,forgot,movie,movie,NN
2034,203.98,204.59,forgot,producer,producer,NN
2035,205.22,205.35,forgot,the,the,DT
2036,205.35,205.84,forgot,mirage,mirage,NN
2037,205.88,206.05,forgot,was,be,VBD
2038,206.05,206.19,forgot,the,the,DT
2039,206.26,206.61,forgot,pleasure,pleasure,NN
2040,206.61,206.84,forgot,dome,dome,NN
2041,206.84,206.95,forgot,of,of,IN
2042,207.15,207.36,forgot,kublai,,
2043,207.389999,207.909999,forgot,khan,khan,NN
2044,208.889999,209.199999,forgot,no,no,DT
2045,210.929999,211.759999,forgot,sometimes,sometimes,RB
2046,212.41,212.56,forgot,when,when,WRB
2047,212.559999,212.639999,forgot,the,the,DT
2048,212.639999,212.969999,forgot,words,word,NNS
2049,212.969999,213.189999,forgot,go,go,VB
2050,213.19,213.55,forgot,away,away,RB
2051,214.24,214.34,forgot,i,I,PRP
2052,214.34,214.52,forgot,can,can,MD
2053,214.52,214.81,forgot,find,find,VB
